title,studio,domestic_gross,foreign_gross,year,total_gross,title_clean,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,movie_id,averagerating,numvotes
Eat Pray Love,Sony,80600000.0,124000000.0,2010,204600000.0,eat pray love,tt0879870,Eat Pray Love,Eat Pray Love,2010,133.0,"Drama,Romance",tt0879870,5.8,77709.0
Yogi Bear,WB,100200000.0,101300000.0,2010,201500000.0,yogi bear,tt1302067,Yogi Bear,Yogi Bear,2010,80.0,"Adventure,Animation,Comedy",tt1302067,4.6,18934.0
Red,Sum.,90400000.0,108600000.0,2010,199000000.0,red,tt1245526,RED,RED,2010,111.0,"Action,Comedy,Crime",tt1245526,7.1,271570.0
Paranormal Activity 2,Par.,84800000.0,92800000.0,2010,177600000.0,paranormal activity 2,tt1536044,Paranormal Activity 2,Paranormal Activity 2,2010,91.0,Horror,tt1536044,5.7,93122.0
The A-Team,Fox,77200000.0,100000000.0,2010,177200000.0,the a-team,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",tt0429493,6.8,235256.0
The Other Guys,Sony,119200000.0,51200000.0,2010,170400000.0,the other guys,tt1386588,The Other Guys,The Other Guys,2010,107.0,"Action,Comedy,Crime",tt1386588,6.7,221664.0
Unstoppable,Fox,81600000.0,86200000.0,2010,167800000.0,unstoppable,tt0477080,Unstoppable,Unstoppable,2010,98.0,"Action,Thriller",tt0477080,6.8,173019.0
The Book of Eli,WB,94800000.0,62300000.0,2010,157100000.0,the book of eli,tt1037705,The Book of Eli,The Book of Eli,2010,118.0,"Action,Adventure,Drama",tt1037705,6.9,271307.0
The Town,WB,92200000.0,61800000.0,2010,154000000.0,the town,tt0840361,The Town,The Town,2010,125.0,"Crime,Drama,Thriller",tt0840361,7.6,322524.0
Date Night,Fox,98700000.0,53600000.0,2010,152300000.0,date night,tt1279935,Date Night,Date Night,2010,88.0,"Comedy,Crime,Romance",tt1279935,6.3,144683.0
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000.0,2010,140100000.0,legend of the guardians: the owls of ga'hoole,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,2010,97.0,"Action,Adventure,Animation",tt1219342,7.0,73790.0
The Wolfman,Uni.,62000000.0,77800000.0,2010,139800000.0,the wolfman,tt0780653,The Wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",tt0780653,5.8,97873.0
The Bounty Hunter,Sony,67099999.0,69300000.0,2010,136399999.0,the bounty hunter,tt1038919,The Bounty Hunter,The Bounty Hunter,2010,110.0,"Action,Comedy,Romance",tt1038919,5.6,112444.0
The Bounty Hunter,Sony,67099999.0,69300000.0,2010,136399999.0,the bounty hunter,tt1472211,The Bounty Hunter,The Bounty Hunter,2010,,,tt1472211,6.3,29.0
Wall Street: Money Never Sleeps,Fox,52500000.0,82300000.0,2010,134800000.0,wall street: money never sleeps,tt1027718,Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,2010,133.0,Drama,tt1027718,6.2,93486.0
The Fighter,Par.,93600000.0,35600000.0,2010,129200000.0,the fighter,tt0964517,The Fighter,The Fighter,2010,116.0,"Biography,Drama,Sport",tt0964517,7.8,316539.0
Predators,Fox,52000000.0,75200000.0,2010,127200000.0,predators,tt1424381,Predators,Predators,2010,107.0,"Action,Adventure,Sci-Fi",tt1424381,6.4,199764.0
Dear John,SGem,80000000.0,35000000.0,2010,115000000.0,dear john,tt0989757,Dear John,Dear John,2010,108.0,"Drama,Romance,War",tt0989757,6.3,128657.0
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000.0,2010,112500000.0,cats & dogs: the revenge of kitty galore,tt1287468,Cats & Dogs: The Revenge of Kitty Galore,Cats & Dogs: The Revenge of Kitty Galore,2010,82.0,"Action,Comedy,Family",tt1287468,4.3,12642.0
Tooth Fairy,Fox,60000000.0,52400000.0,2010,112400000.0,tooth fairy,tt0808510,Tooth Fairy,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",tt0808510,5.0,37939.0
Life as We Know It,WB,53400000.0,52300000.0,2010,105700000.0,life as we know it,tt1055292,Life as We Know It,Life as We Know It,2010,114.0,"Comedy,Drama,Romance",tt1055292,6.6,113077.0
Hereafter,WB,32700000.0,72500000.0,2010,105200000.0,hereafter,tt1212419,Hereafter,Hereafter,2010,129.0,"Drama,Fantasy,Romance",tt1212419,6.5,87288.0
Killers,LGF,47100000.0,51100000.0,2010,98200000.0,killers,tt1103153,Killers,Killers,2010,100.0,"Action,Comedy,Romance",tt1103153,5.4,82237.0
